,title,paragraphs
232,Where can I find a warm winter coat?,"Warm, cruelty-free winter coats can be found virtually anywhere. Take some time to investigate the options in local stores or shop online. We also include a number of companies that sell coats in our “Guide to Compassionate Clothing.”
Click here to view the guide online.
"
233,Where can I find a list of animal ingredients and their alternatives?,"For a description of common animal ingredients and their alternatives, check out the Animal Ingredients List
You may also be interested in buying A Consumer’s Dictionary of Food Additives or A Consumer’s Dictionary of Cosmetic Ingredients, both by Ruth Winter, M.S.
"
234,How do I report animal cruelty?," 
Witnessing animal abuse can be very traumatic, especially if you aren’t sure what to do about it. The most important steps are to become familiar with your local animal cruelty laws, find out which agency handles cruelty complaints, and learn how to follow up to make sure an investigation is conducted. For detailed information on filing an animal cruelty complaint, please visit “What to Do If You Spot Animal Abuse.”
"
235,Is it all right to buy my new puppy from a pet store?,"Many dogs sold in pet shops come from puppy mills and breeding kennels found mostly in the Midwest. In puppy mills, female dogs are kept in crude, outdoor cages without protection from rain, sweltering heat, bitter cold, and biting wind. Denied companionship and comfort, they are treated like breeding machines. Their puppies are taken from them at an early age, packed into crates, and shipped hundreds of miles to dealers, often without adequate food, water, or ventilation. Poor breeding practices lead to numerous health problems, including distemper, parvovirus, respiratory conditions, physical deformities, deafness, eye diseases, and a host of other ailments.
Once the puppies get to the pet store, life in cramped cages adds more strain to their already stressed lives, increasing their susceptibility to disease. No law regulates how pet shops dispose of their animals, and some stores have been caught killing unsold dogs on the premises and throwing them into trash Dumpsters. Breeders churn out countless numbers of puppies each year, while millions of dogs are killed for want of a good home. Dogs are dumped at local pounds or abandoned in the woods and on city streets. Animal shelters can place only a fraction of the animals they receive, and the rest must be put to death. Because of this overpopulation crisis, no breeding can be considered “responsible.”
If you have the time, energy, space, and money to care for a dog (or two), please visit your local animal shelter and adopt.
"
236,Why do vegans use controversial tactics?,"PETA’s mission is to get the animal rights message out to as many people as possible. Unlike our opposition—which is mostly composed of wealthy industries and corporations—PETA must rely largely on free “advertising” through media coverage. We will do extraordinary things to get the word out about animal cruelty because we have learned from experience that the media, sadly, do not consider the terrible facts about animal suffering alone interesting enough to cover. It is sometimes necessary to shake people up in order to initiate discussion, debate, questioning of the status quo, and, of course, action.
Thus, we try to make our actions colorful and controversial, thereby grabbing headlines around the world and spreading the message of kindness to animals to thousands—sometimes millions—of people. This approach has proved amazingly successful: In the three decades since PETA was founded, it has grown into the largest animal rights group in the country, with more than 6.5 million members and supporters worldwide. We have also had major groundbreaking successes, such as bringing about the first-ever cruelty conviction against an animal experimenter in the case of the now-famous Silver Spring Monkeys; orchestrating the first-ever raid on an agricultural facility (a factory farm in upstate New York that raised ducks for foie gras under horribly cruel conditions); and convincing more than 200 cosmetics companies to permanently abandon animal tests.
"
237,Why do vegans sometimes use nudity in its campaigns?,"PETA believes that women—and men—should be able to use their own bodies as political statements. Like Lady Godiva, who rode naked on a horse to protest taxes on the poor in the 11th century, PETA knows that provocative, attention-grabbing actions are sometimes necessary to get people talking about issues that they would otherwise prefer not to think about.
The smart, compassionate men and women who pose “naked” for PETA choose to do so because they support the cause and want to take action to help animals. For example, model Rosanna Davison, who has a degree in biomedicine and naturopathic nutrition, chose to pose naked for PETA’s “Vegans Are Red Hot” advertisement because her body has benefited from wholesome plant-based foods and she wanted to promote healthy vegan living. If you take a moment to read her commentary “Why I posed naked for a cause I believe in,” you may better understand why she was so eager to call attention to the issue.
Many famous men, including football player Bret Lockett, actor Steve-O, rapper Waka Flocka Flame, and goalkeeper Tim Howard, have stripped down to make a difference for animals as well. Thanks to them, countless people visited our website to learn more about the issues and find out what they can do to help animals.
All of PETA’s “naked” advertisements are intended to underscore an important message, whether it’s to reveal the cruelty of fur production, to emphasize the health benefits of vegan foods, or to show the vulnerability of animals in laboratories or circuses. If you want to learn more about these issues, please visit the Issues page on PETA’s website.
"
238,Why blame me? I didn’t kill the animal.,"No, but you hired the killer. Whenever you purchase meat, that means the killing was done for you and you paid for it.
Face the truth: View PETA’s “Meet Your Meat” video. Then send for a free vegetarian starter kit
"
239,Don’t humans have to eat meat to stay healthy?,"Both the U.S. Department of Agriculture and the American Dietetic Association have endorsed vegetarian diets. Studies have shown that vegetarians have stronger immune systems than meat-eaters and that meat-eaters are almost twice as likely to die of heart disease, 60 percent more likely to die of cancer, and 30 percent more likely to die of other diseases. Consumption of meat and dairy products has been conclusively linked with diabetes, arthritis, osteoporosis, clogged arteries, obesity, asthma, and impotence.
Order your free vegetarian starter kit today.
"
240,Is commercial fishing bad for the environment?,"Many commercial fishing vessels practice bottom-trawling in order to catch sea animals who live near, on, or under the sea floor, such as flounder, cod, grouper, shrimp, and scallops. Scientists say that the destruction caused by bottom-trawling is similar to that caused by clear-cutting old forests, only on a far greater scale. For example, the area of seabed trawled each year is roughly the size of the 48 contiguous states: 150 times greater than the area of forest cut! Elliot Norse, president of the Marine Conservation Biology Institute, says, “Scientists find that bottom-trawling is the largest disturbance to the world’s sea floor and possibly the largest human-caused disturbance to the biosphere.”
For more information, please click here.
"
241,"If animal exploitation were wrong, it would be illegal.","
Legality is no guarantee of morality. Who does and doesn’t have legal rights is determined merely by the opinion of current legislators. The law changes as public opinion or political motivations change, but ethics are not so arbitrary. Look at some of the other things that have at one time been legal in the U.S.—child labor, human slavery, the oppression of women.
"
242,I am considering a career in animal rights. Do you have any advice?,"You might want to check out PETA’s current job opportunity listings by clicking here or the Web sites of other groups you may belong to, just to get a feel for the range of positions that are available.
We hire people with all sorts of backgrounds and skills:
Consider PETA’s internship program or volunteering at a local organization. 
Even if you end up not working for an animal rights organization, you can always fight for animal rights in other ways. For instance, people who work with children can teach them about kindness toward animals or help stop dissection in their schools, lawyers can offer their services pro bono to represent activists and take on animal rights cases, and so forth. Anyone, no matter what their career field, can do plenty for animals in their spare time!
Click here for more information on becoming an activist.
"
243,Is hunting necessary to stop overpopulation of deer and other animals?,"No. Starvation and disease are unfortunate, but they are nature’s way of ensuring that the strong survive. Natural predators help keep prey species strong by killing the only ones they can catch—the sick and weak. Hunters, however, kill any animal they come across or any animal whose head they think would look good mounted above the fireplace—often the large, healthy animals needed to keep the population strong. And hunting creates the ideal conditions for overpopulation. After hunting season, the abrupt drop in population leads to less competition among survivors, resulting in a higher birth rate. If we were really concerned about keeping animals from starving, we would not hunt but instead take steps to reduce the animals’ fertility. We would also preserve wolves, mountain lions, coyotes, and other natural predators. Ironically, many deer herds and duck populations are purposely manipulated to produce more and more animals for hunters to kill.
Click here for more information on hunting.
"
244,Is it true that some companies actually use dog and cat fur in their products?,"Unfortunately, yes. Dogs and cats are killed for their skin in Asia, just as bobcats and foxes are killed in the United States. Their skin is turned into items such as fur coats, fur figurines, and leather shoes and sold in America to unsuspecting consumers.
To learn more about the fur industry, click here.
"
245,What’s the reasoning behind the “Tax Meat” Campaign?,"PETA is advocating an excise tax on each purchase of meat in the same way that cancer-awareness groups advocated taxing cigarettes. Reports estimate that Americans spend as much as $123 billion a year to treat hypertension, heart disease, stroke, cancer, obesity, and other diseases directly related to meat consumption. PETA wants a meat tax to pay for dietary education programs that would help reduce health care costs and save consumers’ and animals’ lives.
In addition, a tax on meat would help pay for the meat industry’s huge detrimental effect on the environment. Environmental groups like the National Audubon Society and the Union of Concerned Scientists are recognizing that meat-eating is one of the worst things we do to the planet.
For more information, please click here.
"
246,What can I do to help put a stop to the cruelty in the fur industry?,"You can help by speaking with the managers of any stores selling fur and fur trim and letting them know that you won’t be shopping there until they get fur off the racks. Set up an information table outside a store selling fur or on a busy street. We can send you posters and leaflets to use. Let fur-wearers know how you feel about animal cruelty, and have leaflets on hand to educate them about it.
PETA also has anti-fur buttons available that you can use to adorn your cruelty-free bag or nonfur coat. Writing letters to the editors of your local newspapers about the cruelty of fur can affect countless people.
There’s also a wonderful, upbeat video called The Witness (available at www.TribeofHeart.org), a very effective and moving educational tool on the subject of fur, that you can show friends or have shown at a local library, college, or church.
"
247,Don’t existing laws ensure that animals in labs are treated humanely?,"No. There are no regulations that govern the conduct of an experiment, limits what animals are forced to endure, or prevents the duplication of painful experiments. Animals are routinely infected with diseases they would never normally contract, cut open, burned, starved, driven insane, poisoned, and killed—and it’s all legal. The March of Dimes, a charity that funds animal studies, has paid experimenters to sew cats’ eyes shut for a year and then kill them; keep monkeys in restraints for days at a time; give ferrets and other animals severe brain damage; and addict rats and newborn opossums to alcohol, nicotine, and cocaine. The only federal law that offers any sort of protection for animals in laboratories, the Animal Welfare Act, deals primarily with housekeeping issues, such as cage size.
Even when cages are clean, animals in laboratories are still deprived of everything that makes life worthwhile—the companionship of others of their own kind, fresh air, freedom to run or climb, and the ability to make even the simplest choices about their lives. After months, years, and sometimes decades of being poked and prodded, they die or are killed—hardly an ethical way of treating another sentient being.
To learn more about the lives of these animals, see PETA’s factsheets on Animal Experimentation.
"
248,At least the animals on factory farms are fed and protected.,"
This argument was used to claim that black people were better off as slaves on plantations than as free men and women. The same could also be said of people in prison, yet prison is considered one of society’s harshest punishments. Animals on factory farms suffer so much that it is inconceivable that they could be worse off in the wild. The wild isn’t “wild” to the animals who live there; it’s their home. There they have their freedom and can engage in their natural activities. The fact that they might suffer in the wild is no reason to ensure that they suffer in captivity.
"
249,Won’t reducing intensive meat production be sufficient to improve the environment?,"Plainly put, the sheer quantity of animals required to feed people’s taste for meat, dairy products, and eggs makes humane, environmentally responsible practices impossible. Profitability dictates that the meat, dairy, and egg industries crowd the largest number of animals into the smallest space possible, leading to massive water pollution, soil erosion from the amount of crops needed to feed these animals, and other eco-nightmares.
To learn more about the environmental impact of eating animal products, please click here.
"
250,"There are mice living in my basement. I don’t want them there, but all I can find at the store are glue traps, poison, and mousetraps. Do I have any other options?","Minus a neighborhood Pied Piper, what’s a squeamish homeowner to do? First of all, don’t even think about using mousetraps, poison, or glue traps. Studies have shown that some animals caught in glue traps break or even bite off their own legs in an effort to escape, and the glue badly irritates and scars their eyes. Animals whose faces become stuck in the glue slowly suffocate, and all trapped animals are subject to starvation and dehydration. Glue traps are also dangerous to dogs and cats. For more information, please read PETA’s “Glue Traps: Pans of Pain” factsheet.
If you see glue traps at a store, complain to the manager! Ask them to only carry humane traps (available at PETACatalog.org).
Nonlethal traps are widely available, inexpensive, and easy to use. Sold in hardware stores, as well as in PETA’s catalog, they consist of a boxlike plastic or metal trap with a springrelease door that closes behind the animal once he or she enters the trap. Check the trap every hour, and if you find an animal, simply release him or her in a suitable location outside.
You also must make your home less attractive to mice. Start by doing a thorough sweep of your house. Make sure there is no food left in open places or in cardboard containers, which mice can eat right through. Keep garbage in tightly covered containers. Remove mice shelters by keeping storage spaces orderly and keeping stored items off the floor.
Next, deny mice a way to enter your home by sealing holes around the bottom of walls—even small ones, since a mouse can wriggle through a hole no larger than a quarter. Seal holes in exterior walls, as well.
With a little bit of effort, you can live mousefree without cruelty!
"
251,Why do vegans believe that pro-life activists should be vegan?,"When people say that they are “pro-life” yet choose to support violence, misery, and death every time they eat a meal, they have become “pro-death.” The obvious “pro-life” choice is to be vegan.
Every time we sit down to eat, we make a life or death choice: Do we want to support compassion and mercy? Or do we want to support misery, violence, and bloodshed? Will we opt to be cruel or to be kind? Most of us would agree that it is immoral to cause gratuitous suffering to a dog or a cat. It makes sense to extend this same understanding to equally sensitive cows, pigs, chickens, fish, and other animals.
For more information about being vegan, please click here.
"
252,"My biggest problem with commercial fishing is all the unintended animals who are caught, killed, and thrown away. That’s not an issue when fish are aquafarmed, though, is it?","Fish-eating birds are drawn to open aquaculture ponds as a source of food. Rather than using nonlethal measures to keep birds from eating the fish, such as netting the ponds, many aquafarmers simply kill the birds. The U.S. Fish & Wildlife Service (USFWS), which issues the permits allowing the birds to be killed, has no method in place to ensure that aquafarmers obey the permit limits for numbers and species of birds killed.
When the National Audubon Society investigated aquaculture sites, they found massive burial pits of dead birds—far more than USFWS permits allowed. Nevertheless, distinguishing between intended and unintended victims is arbitrary; animas don’t suffer any less because they get eaten.
Click here to learn more about aquafarmers.
"
253,How can you justify spending your time helping animals when so many humans need help?,"There are many serious problems in our world that deserve our attention; cruelty to animals is one of them.
No one organization can fight all moral and social crimes; for example, the American Heart Association fights heart disease, but not cancer or any other disease. Save the Children helps starving children, but not disabled veterans. Fortunately, PETA’s pro-animal activities have great power to better the human condition as well. As vegetarians, we advocate eating lower on the food chain, which would not only save 25 billion innocent animals from slaughter each year, but would also save humans from a diet known to cause heart disease and cancer.
We can help feed starving children around the world by choosing carefully what we put on our plates. Adhering to a plant-based diet makes 16 times more food available for other hungry people than consuming a meat-eating diet. Eliminating intensive factory farming of animals would also save precious fresh water and topsoil.
Teaching respect for animals is also an important part of preventing violence to humans. George T. Angell said, “I am sometimes asked, ‘Why do you spend so much of your time and money talking about kindness to animals when there is so much cruelty to men?’ I answer: ‘I am working at the roots.’” Please see our factsheet on the link between violence toward humans and abuse of animals
"
254,"Why do some product labels say, “No animal ingredients,” when they contain beeswax, lanolin, buttermilk, etc.?","This type of misleading labeling is often caused by a lack of education about animal issues or by insensitivity to the suffering of animals in the production of products that do not involve the actual slaughter of the animal. PETA attempts to educate officials at these companies, but some have persisted in inaccurately labeling their products even though honey, lanolin, buttermilk, etc., are, indeed, animal products. We advise you to read the entire label before believing such a statement and to voice your complaints when you find products that are mislabeled.
Click here for more information.
"
255,"If I stop consuming dairy products, won’t that put me at greater risk for osteoporosis?","High-protein foods, such as meat, eggs, and dairy products, produce poisonous byproducts when they are broken down so the body buffers the toxins with calcium before they are eliminated. This leaches calcium from the body, including from the bones, resulting in a loss that cancels out the dietary intake of calcium from animal products. In countries where dairy products are not generally consumed, there is less osteoporosis than in the United States, where dairy consumption is among the highest in the world. The Harvard Nurses’ Health Study followed 78,000 women for 12 years and found that milk did not protect them against bone fractures. In fact, those who drank three glasses of milk per day had more fractures than those who rarely drank milk. To learn more, please visit PCRM.org.
Also, an excellent discussion of dietary links to osteoporosis can be found in Dr. John McDougall’s The McDougall Plan and in Dr. Neal Barnard’s The Power of Your Plate.
"
256,What do I do if I think my vet or groomer has harmed my animal?,"If you suspect your veterinarian of malpractice, you should make a complaint to your State Board of Examiners. While nothing will take away the stress and fear that your animal has gone through, our factsheet “Veterinary Malpractice and Grooming Accidents” outlines ways to prevent animals from suffering in the future.
Animals have been seriously injured or killed at grooming salons when they were left unattended in front of hot dryers. Other animals have been found hanging by their collars or leashes after being left alone in bathtubs or on grooming tables. Taking precautions is the best way to prevent accidents: We recommend learning to groom your animal at home or employing a groomer who makes house calls and operates under your watchful eye. However, if you do decide to leave your animal at a grooming salon, request references from other clients first.
If a groomer injures your animal, you can file a small claims suit or lawsuit against the groomer or salon. A story about your animal’s injuries on a local television station or in the newspaper can help prevent additional tragedies. For more information, you may wish to contact the Information Center for Grooming Accidents at 700 Vista Abajo N.E., Albuquerque, NM 87123; 505-293-7488.
 
"
257,People have always eaten animal products. Why should we stop now?,"Never in human history have people eaten as many animal products as we do now. Today, rich and poor can afford to eat these products, largely as a result of the cost-cutting methods used to raise “food” animals. Present-day factory farms inflict massive, large-scale suffering of a magnitude never before seen in agricultural practices. In addition, the human population is larger today than ever before. Billions of people eating meat means that billions of tons of water and grain are being diverted from the world’s poor people and fed to the livestock of the rich; the resultant billions of pounds of manure are destroying our topsoil, drinking water, and ozone layer. In addition, today we not only have medical evidence of the health benefits of a plant-based diet, we also have many easily accessible products, such as tofu, tempeh, nondairy milk, yogurt, cheese, and ice cream, and many other healthful and delicious products that make the switch to a vegan diet easy and delicious. Learn more about vegetarianism or order a vegetarian starter kit.
"
258,How can I help prevent “roadkill”?,"
Defensive driving techniques, such as driving slowly at night, honking your horn at animals who look as if they are about to enter the roadway, or flashing your high beams at animals to break the sometimes hypnotic effect of the glare of the headlights can help. Many people swear by “deer alarms,” small whistles inaudible to human ears that you attach to the front bumper of your car.

Carry an animal rescue kit in your car for stray or injured animals. It should include dog biscuits and cat food (to lure reluctant animals); a long rope or leash that can be looped into a collar to capture dogs and cats; a bandage for a muzzle (an injured dog may snap or bite); a collapsible cardboard cat carrier (for cats, squirrels, turtles, and other small animals); a blanket or towel; a brown paper bag and clothespin to keep it shut (for carrying injured birds), and a list of emergency phone numbers of veterinarians, humane societies, animal shelters, and wildlife rehabilitators.

If you come upon an animal who has been killed by a car, you can either move him or her out of the roadway yourself, or report the incident to the local animal control department who will usually come and pick up the animal.
"
259,How can vegetarianism be healthy? I know a vegetarian who is unhealthy.,"There are healthy and unhealthy vegetarians. But doctors agree that vegetarians who eat a varied low-fat diet stand a much better chance of living longer, healthier lives than their meat-eating counterparts.
Learn more at PCRM.org.
"
260,Why do vegans include companies in the cruelty-free company section that utilise animal-derived ingredients or byproducts?,"PETA uses the term “cruelty-free” to denote companies that do not test their products on animals. The purpose of our Caring Consumer Project is to persuade companies that produce cosmetics and household products to stop testing on animals. If companies stop conducting animal tests, they meet the criteria of this campaign and qualify for inclusion on our list of companies that do not test on animals. While nonvegan companies that do not conduct animal tests are, of course, not 100 percent cruelty-free in the fullest sense of the word, they have taken a significant step toward eliminating animal suffering by changing to a policy that does not include animal testing. We feel that it is important to recognize the meaningful steps that any individual or company takes to help animals. Furthermore, most consumers are not vegan, and many are only interested in putting an end to the cruelty involved in cosmetics testing. 
We would prefer that consumers buy products that are not tested on animals rather than products that are tested on animals, regardless of the type of ingredients. However, we would also prefer that consumers purchase vegan products rather than nonvegan products. Therefore, PETA’s cruelty-free lists clearly indicate which companies offer product lines that are entirely vegan, and we hope that our reference to this issue will encourage readers to consider the cruelty involved in animal ingredients and, ultimately, help them to take their compassion a step further.
Click here for more information.
"
261,How are racehorses usually treated?,"Sadly, for many equine athletes, injury and death are always just a hoofbeat away. A 1993 University of Minnesota study revealed that 840 horses were fatally injured on U.S. tracks in 1992, and 3,566 horses were injured so badly that they could not finish the race. Selective breeding over centuries has made thoroughbreds’ legs far too fragile for their bodies. Most thoroughbreds are owned by corporations that have no interest in them aside from making money; such owners don’t hesitate to sell horses to a slaughterhouse “kill buyer” when they break down. First, though, many horses are turned into junkies by their trainers and veterinarians, who provide drugs to keep them racing when they shouldn’t be on the track. Dr. Gregory Ferraro, a former racetrack veterinarian, says that treatments are now often used “to force the animal, like some punch-drunk fighter, to make just one more round.” Horses are forced to run with hairline fractures that would be too painful to run on without drugs.
As an article in Sports Illustrated concluded: “There is much uncertainty about why so many racehorses end up dead on American tracks every year, but the figures are appalling and unacceptable by any humane standard.” To learn more, please read the factsheet about the horse-racing industry
"
262,Do musical instruments utilize animal products?,"Today, very few instruments are made with animal products. Gut strings are the only animal-derived product still commonly used in the creation of musical instruments.
However, even gut strings—most commonly found on very expensive tennis rackets, guitars, violins, and other stringed instruments—can easily be replaced with synthetics like nylon or steel. Almost any music store should be able to accommodate your request for a cruelty-free instrument. Before making a purchase, take the time to verify that the instrument is free of animal products by using the following information as a guide.
Animal Oils, Tallow Some companies advocate the use of lanolin, tallow, or other animal oils to clean drum heads. Vegetable-based oils can easily be used for this purpose.
Animal Skins In the past, animal skins from sheep, elks, and cows were commonly used to make drumheads and traditional bagpipes. Today, most drumheads are made from synthetic materials, and the creators of Gore-tex have developed a synthetic material for use in bagpipes.
Horsehair Violin bows may be made with horsehair, but synthetic vegan options exist.
Piano Keys Piano keys are rarely made from ivory but can be made from the hooves, horns, and bones of a variety of animals. Today, however, many piano makers—including Steinway and Baldwin—use white plastic.
Strings (Catgut) No one is sure of the origin of the term “catgut string,” but it is doubtful that the intestines of cats were ever used to make strings for instruments or rackets, since cats are widely considered to be too small for such uses. One theory is that the term originated from “kit,” a small fiddle-like instrument that used lamb gut strings. Others believe that the term grew out of the demand for strings made in Catagniny, Germany. These strings are derived from the same source as natural gut (see below).
Strings (Natural Gut) The raw material used in natural gut strings is a byproduct of the meat industry. It can come from several animals, including sheep, cattle, kangaroo, and water buffalo. Most gut strings are constructed out of serosa, the outermost layer of the intestines of cattle. However, the first major natural gut strings were made from the mucosa, the innermost layer of the intestine of sheep and lamb. The ability of the lining of the intestine to expand while eating and shrink after digestion is what makes natural gut so desirable to string manufacturers.
"
263,Is aquaculture bad for the environment?,"Fish farms, or “aquafarms,” discharge waste, pesticides, and other chemicals directly into ecologically fragile coastal waters, destroying local ecosystems. And aquaculture farms that raise fish directly in fenced-in areas of natural waters kill off thriving natural habitats by overloading them far beyond their capacity. Waste from the excessive number of fish can cause huge blankets of green slime on the water’s surface, depleting oxygen and killing much of the life in the water. In Brazil, destruction caused by aquaculture changed the local climate so much that some aquaculture operations have been forced to shut down.
Raising 1 ton of fish takes 8 tons of water. Intensive shrimp production takes up to 10 times more water. According to the journal Science, a 2-acre salmon farm produces as much waste as a town of 10,000 people. Salmon farms in British Columbia were found to be producing as much waste as a city of half a million people.
And while aquafarmers like to tout aquaculture as an alternative to depleting wild fish populations, many of the fish species they farm are predators, like salmon and shrimp, and are fed ocean fish. It takes 5 pounds of ocean fish to produce 1 pound of farmed fish.
For more information, please click here.
"
265,What about fish in the wild caught by commercial fishers?,"Today’s commercial fishers use vast trawlers the size of football fields. These huge nets, sometimes miles long, stretch across the ocean, swallowing up everything in their path and killing countless animals in addition to those they are intended to catch. Factory trawlers are emptying the oceans of sea life at an alarming pace. Thirteen of the 17 major global fisheries are depleted or in serious decline. The other four are “overexploited” or “fully exploited.” I’ll never forget one fisher who operated a small fishing boat in Washington state. She said to me of an otter who had died in her net that day, “Anything stupid enough to get in my net deserves to die.” Nearly one-third of all species of fish have declined in population in the last 15 years, and many species may be wiped out in the next decade. The decline in fish populations is leading to increasing conflicts between fishers and the wildlife who eat fish. Some fishers intentionally kill or maim seals, birds, and marine mammals whom they perceive as a threat to their catch. Some species are in decline as a result of fishing. The number of Steller’s sea lions in the Bering Sea has declined by 80 percent since the 1950s. An estimated 100,000 seals, whales, and porpoises and a million birds every year become entangled in nets and drown. Because dolphins habitually swim with schools of tuna, the tuna fishing industry even today “accidentally” drowns at least 20,000 of these intelligent mammals annually. Critically endangered sea turtles have been killed incidentally by the thousands by shrimp trawlers. Eating one fish results in the deaths of many.
For more information, click here.
"
266,Vegan options are more expensive than their nonvegetarian counterparts. Can I afford to go vegan?,"You’re right that vegan specialty foods, like prepared veggie burgers, etc., are sometimes more expensive than their nonvegan counterparts, but fortunately, they aren’t the only options. Prepared food will always be more expensive than food you make yourself, so buying the ingredients and making them at home will typically save you money. Veggie staples such as pasta, rice, tofu, and beans are much cheaper than meat. The money you save from not buying meat can go toward paying just a little extra for nondairy milk and other staples, like fruits and vegetables. Another suggestion is to buy food in bulk, either at the store, over the Internet, or through catalogs. You can find many vegan mail-order catalogs listed in the classified section in the back of Vegetarian Times magazine.
In addition, consider your health: Fresh, organic fruits and vegetables may cost more than some junk foods, but isn’t your health worth the extra couple of bucks? If you’re still not sure, given the health benefits of a vegan diet, you’ll likely save hundreds or thousands of dollars on health care, which will more than make up for the extra cost of soy milk. For more information on making the switch and to order a free vegetarian starter kit, click here.
"
267,Eliminating all animal ingredients from the foods that I eat and the products that I use sounds challenging. What am I supposed to do?,
268,Do vegetarians have difficulty getting enough protein?,"In the West, our problem is that we get too much protein, not too little. Most Americans get about seven times as much protein as they need. You can get enough protein from whole wheat bread, oatmeal, beans, corn, peas, mushrooms, or broccoli—almost every food contains protein. Junk food aside, it’s almost impossible for vegans to eat as many calories as we need for good health without getting enough protein.
By contrast, too much protein is the major cause of osteoporosis and contributes to kidney failure and other diseases of affluence. Learn more.
"
269,Do peer review and animal care and use committees at universities prevent painful or repetitive studies?,"These committees were meant to stop pointless and redundant studies, but most merely rubber stamp animal experiments without question. They are composed of animal experimenters with a vested interest in the continuation of animal experimentation, with only one person to represent the community and the interests of the animals. To learn more, please click here.
"
270,Can plants feel pain?,"The scientific community is just beginning to recognize plants’ advanced capabilities, and we now know that they experience a variety of sensations. They can close or open up to avoid an attack or to await rain, for instance. Studies show that plants can feel a touch as light as a caterpillar’s footsteps and send out signals—similar to those sent by the human body—to warn their other leaves to release bad-tasting chemicals in order to deter damaging insects. Studies show that plants also communicate with one another; share medicinal compounds with other plants through their roots, an underground fungal network, and the air; release pheromones; see, hear, smell, and react to dangers in the environment via sensing proteins; pass knowledge on to younger plants; and more.
Just as at one time, many people did not realize that octopuses—whose nervous systems differ significantly from that of humans and other animals—are extremely intelligent and sensitive to pain, it’s possible that plants have intelligence and sentience that humans cannot yet detect. Perhaps one day, we will learn that they have ways of experiencing pain that we have yet to comprehend.
Whether or not that’s the case, there is no need to harm plants unnecessarily. While we must eat in order to survive, we can harm fewer plants by going vegan, because eating plants directly, rather than feeding them to animals and then killing those animals for their flesh, requires far fewer plants and hurts fewer animals who, we already know for sure, feel pain. Cows, for example, must consume 16 pounds of vegetation to yield 1 pound of flesh, so by being vegan, we save many more plants’ lives than if we ate meat. And of course, vegans also save nearly 200 animals every year—living, feeling beings who, scientists now know beyond a shadow of a doubt, experience the full range of sensations and emotions, including pain, discomfort, fear, and sadness.
Whether it can be proved that plants experience pain or not, vegan foods are the compassionate choice because they require the deaths of fewer plants and animals.
"
271,Don’t we need to eat meat and dairy products to be healthy?,"No! There is no nutritional need for humans to eat any animal products; all of our dietary needs, even as infants and children, are best supplied by an animal-free diet.
Cows’ milk is suited to the nutritional needs of calves, who, unlike human babies, will double their weight in 47 days (as opposed to 180 days for humans), grow four stomachs, and weigh 1,100-1,200 pounds within two years. Cow’s milk contains about three times as much protein as human milk and almost 50 percent more fat.
The consumption of animal products has been conclusively linked to heart disease, cancer, diabetes, arthritis, and osteoporosis. Cholesterol (found only in animal products) and animal fat clog arteries, leading to heart attacks and strokes. The rate of many cancers—including colon, breast, cervical, uterine, ovarian, prostate, and lung—is highest in regions where meat consumption is high and lowest where meat-eating is uncommon. A study of more than 25,000 people found that vegetarians have a much lower risk of getting diabetes than meat-eaters. A South African study found not a single case of rheumatoid arthritis in a community of 800 people who ate no meat or dairy products.
There is no physical reason for humans to eat animal products. Cutting animal products from your diet is healthier for you, the animals, and the environment. Learn more about the health benefits of a plant-based diet at PCRM.org.
"
272,"If everyone turned vegetarian, it would be worse for the animals because so many of them would not even be born.","Life on factory farms is so miserable that it is hard to see how we are doing animals a favor by bringing them into that type of existence, confining them, tormenting them, and then slaughtering them.
See for yourself; view PETA’s “Meet Your Meat” undercover video.
"
273,Where can I find cruelty-free business suits?,"Since many winter suits are made of wool, we suggest that you start shopping in the spring, when summer suits made from cotton are available. We also include a number of companies that sell suits in our “Guide to Compassionate Clothing.”
Click here to view the guide online.
"
274,"If we didn’t test on animals, how would we conduct medical research?","Human clinical and epidemiological studies, cadavers, and computer simulators are faster, more reliable, less expensive, and more humane than animal tests. Ingenious scientists have developed a model “microbrain” from human brain cells to study tumors, as well as artificial skin and bone marrow. We can now test for skin irritancy on cells in a test tube, produce vaccines from human cell cultures, and perform pregnancy tests using blood samples instead of killing rabbits. Says Gordon Baxter, cofounder of Pharmagene Laboratories, a drug research company that uses only human tissues and computers to develop and test drugs, “If you have information on human genes, what’s the point of going back to animals?”
To learn more, please click here.
"
