title,paragraphs
What does the word ‘vegan’ really mean?,"In recent years, the word ‘vegan’ has come a long way from the relative obscurity in which it once dwelled. As a concept now associated with people as well known as Oprah, Bill Clinton and James Cameron, the word itself has become fairly widely known. But is it really understood?

Contrary to popular belief, vegans do not just subscribe to a plant-based diet or abstain from animal products as a reaction to the treatment of animals in large-scale, industrialized conditions. Vegans object to our use of animals as “resources” in and of itself, whether the individuals in question are being housed in factories, or in small, backyard, family-farm situations.

This includes (but is not limited to) the use of animals for food, clothing, cosmetics, experimentation and entertainment. It also extends to any situation where animals are being used for labor such as in the case of oxen tilling fields, and any situation where animals are treated as commodities such as in the pet industry, which treats ‘companion animals’ as living merchandise to be bought and sold. (Note: Vegans, as a whole, do not object to the practice of sharing one’s home with animals. Many of us take tremendous joy in being able to adopt or rescue the unwanted refugees of the pet trade.)

Vegans do not use or wear leather, wool, silk, down, fur, or any other fabric that come from animals. Nor do we ingest milk, honey, eggs, flesh, or any other ingredients of animal origin, including ‘by-products’, such as gelatin and casein. We also abstain from using cosmetics, toiletries and (as far as is practical) pharmaceutical products that are made using animal ingredients or animal testing. We also do not support or condone any form of ‘entertainment’ that involves the use of animals, including (but not limited to) circuses, rodeos, marine parks, zoos/safaris, animal racing, and hunting."
What is a vegan?,"Veganism is a way of living which seeks to exclude, as far as is possible and practicable, all forms of exploitation of, and cruelty to, animals for food, clothing or any other purpose. Vegans avoid eating all foods of animal origin: meat, fish, dairy products, eggs, and honey. Veganism was originally defined purely as a dietary choice, but many vegans extend this ethic to shun animal testing and ingredients from all things they consume or wear, including clothing, shoes, personal care items, cosmetics, and medicine."
What is wrong with eating dairy products?,"Many people do not realise the cruelty involved in the dairy industry. A cow, like a human, only produces milk when she has a baby to feed. Dairy cows are therefore forced to produce calf after calf, each of whom are taken from her shortly after birth, in order to keep her producing milk. The stress placed on the cow often results in her being killed as young as 7 years old (in Australia), when her natural lifespan is between 20-25 years.

The female calves of these cows often replace other members of the dairy herd, whereas the male calves are an unwanted product of the industry. They are either raised for veal or killed shortly after birth. Not only is dairy unethical, it is also unhealthy as it is high in saturated fat and cholesterol and is linked to obesity, heart disease, cancer, diabetes and osteoporosis. Dairy can also cause Iron deficiency anaemia in infants and toddlers. For further information on the dairy industry go to cowtruth.com"
What would happen to the countryside if we stopped having animals grazing on it?,"As we’ve already seen, we would need to use less of our countryside for agriculture if we were all vegan: that means that more of it could return to a natural state. Britain has less woodland than any other northern European country – we could change that if we didn’t need to use land to grow crops like soya and rape for animal feed. Far from being a loss to the countryside as some people imagine, ending livestock farming would mean a huge toll of suffering would be eliminated and wildlife allowed to recover"
Where do you get your protein?,"Not so long ago, conventional wisdom had it that vegans and vegetarians would inevitably develop dangerous protein deficiencies. But over time this myth has largely died out, doubtless due to the fact that have been virtually no instances of vegans dropping dead from lack of protein.



Unfortunately, a harmful counter-myth has arisen within the vegan world: that plant-based foods are so loaded with protein that vegans need never give the topic a thought. That’s an unreasonable belief that has set a lot of vegans up for inadequate protein intake, even if they’ll never be hospitalized for deficiency. Protein is a vital nutrient and falling short of your needs is harmful in a variety of ways. So it’s worth making sure you’re incorporating several rich sources of protein into your everyday diet. Here are some protein-rich vegan foods that will help ensure your needs are met."
Why do vegans always look ill?,"They don’t. That’s like asking why toupees always look bad – it’s just that you only notice the bad ones. If you know someone (who knows someone...) who was ill they do not represent vegans! People like Novak Djokovic, Martin Shaw, Venus Williams, Natalie Portman, Liam Hemsworth, Pamela Anderson, Joanna Lumley and Carl Lewis, winner of 6 Olympic Gold medals, look pretty good on their vegan diets. And you should see the Viva! staff - we’re like gods and goddesses here..."
Why don’t you care about people? They are more important than animals.,Being vegan IS caring about people. A vegan diet benifits human health and reduces community medical costs. Animals farmed for ‘food’ eat huge amounts of plants and prains that could be fed to starving humans instead
Why Go Beyond Plant-Based?,"Now that we’ve touched on the benefits of eating mostly plant-based foods, let’s consider the advantages of going further and becoming vegan. This raises the key question: what does a vegan diet give you that a plant-based diet can’t? It turns out that going vegan has several advantages no other diet can match. If you find yourself swayed by the arguments for becoming vegetarian or for moving in a plant-based direction, you should know that most of those arguments apply even more forcefully to becoming vegan. The great virtue of vegan foods is that they slam the door shut on so many disagreeable things, especially where animal suffering is concerned. So as we begin digging into the why go vegan question, let’s start by looking at farm animals. More than 70 billion farm animals are slaughtered each year, the vast majority of whom are kept under extraordinarily cruel conditions. And when it comes to inflicting animal suffering, it turns out that the dairy and egg industries are every bit as objectionable as the meat industry. A vegan diet cuts out this exploitation, and prevents your food budget from funding animal abuse and slaughter."
Why Go Vegan for Your Health?,"While no diet can guarantee a long and healthy life, becoming vegan may improve your odds. That’s largely because a vegan diet eliminates a number of unhealthful foods, including red and cured meats—two foods strongly linked to colon cancer.12 Vegans also tend to eat far more vegetables and fruits than non-vegetarians. Studies consistently show that people who eat the most fruits and vegetables tend to enjoy better health.13 Research also suggests that vegans suffer lower rates of heart disease and diabetes.14 This reduced risk is partly due to the fact that vegans are statistically leaner and much less prone to obesity than the general population, but this isn’t the whole explanation. Additional benefits probably arise from low saturated fat intake and from the healthful compounds in plant foods.

The Potential Benefits of Ditching Dairy: A surprisingly large number of vegans will tell you that quitting dairy changed their lives. Milk products may cause all sorts of chronic health ailments, from nasal congestion to acne to migraines to digestive problems. Many people suffer from these conditions for decades, yet never suspect that dairy products are to blame. I can personally attest to the health benefits that can accompany going dairy-free. My lifelong severe nasal congestion vanished forever within weeks of eliminating milk products from my diet.

Vegan Diets Support High Levels of Fitness: Some people fret that a vegan diet might impede serious athletic training, but that’s not a valid concern. A well-planned vegan diet can in fact support the highest levels of fitness. Both Rich Roll and Scott Jurek, two of the world’s most acclaimed ultra-endurance athletes, are long-time vegans. But what about sports that require strength and bulk? Here too, examples of elite vegan athletes abound. And in 2018, fifteen members of the Tennessee Titans switched to a vegan diet.

Antibiotics in Factory Farming: In addition to the personal health benefits associated with a vegan diet, there are substantial public health benefits as well. That’s because large industrialized meat and dairy farms burden society with all sorts of hidden costs. One of the greatest of these relates to the incubation of new strains of antibiotic-resistant bacteria. Through its lobbying efforts carried out alongside the pharmaceutical industry, the meat industry has for decades gotten away with using staggering amounts of antibiotics. A small portion of these important antibiotics are administered to farm animals in order to treat severe infections. But most of these antibiotics go to healthy animals in order to improve feed-to-meat conversion rates, and to prevent diseases associated with overcrowding.

In the United States, farm animals are responsible for something like 70 percent of all antibiotic use. Despite the well-known risks of antibiotic overuse, this percentage has been steadily increasing for years.15 Worldwide, the meat and dairy industries combine to use more than 100,000 tons of antibiotics per year.16 Many of these antibiotics, like penicillin and tetracyclines, have irreplaceable uses in human medicine. Confining thousands of animals in one space and dosing them all with antibiotics inevitably increases microbial resistance. This in turn renders important classes of antibiotics ineffective for urgent human medical needs. It’s difficult to pin the emergence of a lethal antibiotic-resistant strain of microbes on a specific animal farm. But there’s no legitimate doubt that animal agriculture is a main culprit behind the emergence of deadly antibiotic-resistant strains of bacteria like the MRSA superbug. Tragically, lobbyists from the meat and pharmaceutical industries have long stymied efforts to restrict agriculture’s use of antibiotics. By rejecting meats sold by farms that use antibiotics, we can each send a message and avoid contributing to the problem."
Why go vegan?,"A vegan lifestyle prevents a tremendous amount of animal slaughter and suffering. It offers a potent way to shrink our environmental footprint, especially in regard to climate change. And a well-planned vegan diet can fuel the highest levels of fitness, while reducing our risk of various chronic diseases. Plus, the food is insanely delicious and it becomes more widely available every year."
Why not do something for people instead of animals?,"Veganism does help people. The meat industry causes environmental degradation through things like deforestation, soil erosion, water pollution and the production of greenhouse gases – we would live in a cleaner, better world if we were all vegan. Secondly, because meat production is such an inefficient way of producing food it consumes resources which should go to human beings. In the developing world, land is increasingly being devoted to the production of animal fodder for export to the rich world instead of being used to grow food for the local population. Finally, veganism improves human health, which brings rewards for individuals and also to society as a whole which needs to spend less on health care and lost working days through ill health. Compassion towards animals is not in competition with compassion towards people. Veganism is a choice each individual can make which improves the lives of animals and human beings. It is also a choice about what people eat – not where they work, what they do in their spare time or how they vote. Many vegans dedicate their lives to human welfare – Gandhi is the classic example of that."
Why Not Just Avoid Factory Farmed Foods?,"Unless specifically labeled to the contrary, you can assume that every animal product came from a factory farm. As we’ve seen, every sort of cruelty is rampant at these places. A number of omnivores have pushed back against factory farm cruelties by demanding higher animal welfare standards. Most natural foods stores and supermarkets sell specially-labeled animal products from farms that promise better animal welfare. Additionally, many small-scale meat and egg producers rent stalls at local farmers’ markets. At their best, alternative farms deliver genuine improvements over factory farms. That’s mainly because they refuse to partake in the cruelest farming practices, particularly with regard to confinement and crowding. And with this reduced crowding, mutilations like beak searing and tail-clipping can be eliminated. That’s because animals unstressed by crowding are far less likely to attack or bully one another.

Unfortunately, the substantial price premium these higher welfare foods command can exert an overpowering temptation on producers to cheat. All too often, farmers exaggerate or outright lie about standards for animal care. Just like at factory farms, every alternative producer faces the strongest financial temptation to push limits. Since the costs of delivering genuinely good animal welfare are so high, there are always farmers willing to cut corners. The reality is that some so-called “organic” farms are factory farms in every sense of the word. Sure, they use higher quality animal feed and refrain from using antibiotics, but animal welfare remains deplorable. At one point, several of America’s largest “organic” dairies exploited a regulatory loophole that allowed them to keep their cows confined indoors 310 days out of every year. In late 2017, the Trump administration threw out regulations that had required organic poultry and livestock producers to provide their animals sufficient space to spread their wings or turn around."
Will I need to supplement calcium if I don’t eat dairy?,"Not necessarily, you can get an adequate amount of calcium from a vegan diet. Good sources of calcium include green leafy vegetables, baked beans, black beans, dried figs, tahini and almonds. As well as this most plant milks are fortified with calcium too. In Australia the recommended calcium intake for adults ranges from 1000 to 1300 mg of calcium per day.

Vitamin D assists the absorption of calcium in the body. A reliable source of Vitamin D is approximately 15 minutes of unprotected exposure to the sun each day. Though vitamin D supplements are recommended for many non-vegans and vegans alike, especially during the winter months."
"You don’t have to kill animals to get dairy and eggs, so what’s wrong with those products?","When it comes to killing, the only difference from eggs and dairy products is that while meat comes from an animal who has been slaughtered, milk and eggs come from animals who will be slaughtered. Guaranteed. Every dairy cow and egg-laying hen inevitably goes to slaughter (unless they die prematurely from disease).

Milk and eggs have one major thing in common: they’re the reproductive products of young females. As cows and chickens age, their milk and egg yields decline markedly. In consequence, nearly all dairy cows and layer hens are sent to slaughter at less than half their natural life expectancy; replaced by younger animals who will also in turn be slaughtered when their yields decline.

Add to this that the America’s egg industry breeds more than 200 million replacement hens every year, and that it’s standard practice for dairy cows to be kept pregnant nine months out of every year. What happens to the males born in these systems? Male chicks are unwanted since, being of the egg-laying variety, they can’t profitably be raised for meat. These animals are generally ground up alive, or smothered within hours of hatching. Male calves produced by the dairy industry likewise have little value. Some are sold for a pittance to veal farms, while others are slaughtered immediately upon birth.

These dark realities tend to be true regardless of whether we’re talking about the worst factory farms, or the best free-range egg farms and organic dairies."
